Player Name,Team,Position,Year,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,OREB,AST,STL,BLK,PF,TO,+/-,DD,TD,POTG,PER,TS%,EFG%
Shane Goodwin,Atlanta Talons,PG,10,31,31,16.0,20.5,9.1,11.0,82.2,1.7,3.0,56.5,0.7,0.7,95.5,2.1,0.4,7.0,0.7,0.6,0.6,1.1,3.1,3,0,11,68.6,90.3,89.8
Kurt Holt,Atlanta Talons,GF,6,31,31,14.8,14.6,6.2,9.5,65.2,1.6,2.9,56.2,0.5,0.5,100,2.4,0.4,0.2,0.5,0.5,0.6,0.9,2.6,0,0,2,37.5,74.6,73.6
Tyrell Morgan,Atlanta Talons,F,9,31,22,14.9,9.2,4.0,8.4,47.9,0.8,2.5,33.3,0.3,0.4,90.9,5.6,1.3,5.1,0.8,0.9,0.5,0.8,1.3,2,0,4,36.7,53.8,52.9
Damon Holiday,Atlanta Talons,F,2,31,15,11.9,7.3,3.3,6.7,48.3,0.2,1.2,16.7,0.5,0.6,89.5,3.5,0.4,0.2,0.5,0.5,0.3,0.4,1.4,0,0,0,22.6,51.8,49.8
Dean Tucker,Atlanta Talons,FC,9,31,31,14.6,8.4,4.0,7.1,56.6,0.2,0.7,21.7,0.1,0.5,26.7,5.9,1.4,3.4,0.3,1.0,0.4,0.6,2.4,0,0,0,33.3,56.9,57.7
Mitchell Hammond,Atlanta Talons,F,12,31,25,14.2,11.2,5.0,9.4,53.8,0.4,2.0,21.3,0.7,0.7,95.5,2.9,0.6,0.7,0.5,1.1,0.7,0.5,0.7,0,0,2,29.9,57.7,56.0
Gregory Miller,Atlanta Talons,PG,8,31,0,8.2,7.6,3.3,6.1,53.2,0.5,1.3,41.0,0.6,0.6,100,0.9,0.0,1.3,0.4,0.2,0.2,0.5,0.0,0,0,0,34.1,59.6,57.4
Karl Combs,Atlanta Talons,C,4,31,0,9.3,4.6,2.1,4.3,50.0,0.0,0.4,8.3,0.4,0.5,64.7,4.1,0.9,2.2,0.4,0.9,0.2,0.4,0.5,0,0,0,32.7,51.6,50.4
Aaron Farrell,Atlanta Talons,GF,3,31,0,10.7,8.2,3.2,6.0,53.8,1.2,2.2,55.2,0.5,0.5,100,2.1,0.2,2.5,0.6,0.3,0.2,0.5,1.3,0,0,0,36.4,65.5,63.7
Gary Green,Atlanta Talons,FC,18,15,0,10.8,4.3,1.9,4.1,46.8,0.0,0.1,0.0,0.4,0.5,85.7,3.1,0.9,1.6,0.4,0.5,0.3,0.4,1.7,0,0,0,21.9,49.2,46.8
Corey Christopher,Atlanta Talons,SF,1,10,0,1.5,0.9,0.4,0.8,50.0,0.1,0.1,100,0.0,0.2,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,2.3,0,0,0,18.5,50.7,56.3
Larry Conner,Atlanta Talons,FC,R,10,0,1.5,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0,0,0,3.2,0.0,0.0
Charlie Keller,Atlanta Talons,PG,1,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Bryson Warner,Atlanta Talons,PF,2,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Ruben Robinson,Atlanta Talons,FC,R,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Isaac Chandler,Boston Charms,G,11,31,25,12.0,10.9,4.5,8.1,55.6,1.5,2.9,50.6,0.4,0.6,72.2,2.0,0.4,6.1,0.9,0.3,0.5,1.0,1.4,2,0,3,48.2,65.0,64.5
